hypothesis,params,return_%,sharpe,sortino,maxdd_%,winrate_%,trades,calmar,profit_factor,beats_sharpe,beats_return,beats_dd
32_heure,8-16,41.84,0.995,1.36,26.95,66.8,223,1.879,1.138,False,False,True
32_heure,0-8,-13.29,-0.076,-0.102,49.03,64.1,184,-0.314,0.935,False,False,False
32_heure,16-24,9.43,0.478,0.662,56.09,64.1,245,0.199,1.029,False,False,False
33_jour,lun-ven,209.75,2.233,3.142,41.9,69.7,350,6.596,1.323,True,True,False
33_jour,sam-dim,-10.69,-0.164,-0.225,31.5,62.6,91,-0.394,0.886,False,False,True
33_jour,lun-mer,104.94,1.808,2.564,38.44,69.7,218,3.432,1.292,False,False,True
34_dist_high,w=60_<-3%,170.48,1.896,2.671,42.76,68.8,413,5.169,1.238,False,False,False
34_dist_high,w=288_<-3%,175.12,1.921,2.707,41.52,68.6,417,5.481,1.241,False,False,True
34_dist_high,w=576_<-3%,175.12,1.921,2.707,41.52,68.6,417,5.481,1.241,False,False,True
35_dist_low,w=60_>3%,174.21,1.916,2.699,42.64,68.3,416,5.306,1.237,False,False,False
35_dist_low,w=288_>3%,186.2,1.977,2.787,41.52,68.6,420,5.854,1.246,False,False,False
35_dist_low,w=576_>3%,186.2,1.977,2.787,41.52,68.6,420,5.854,1.246,False,False,False
36_bb_squeeze,w=20,-11.26,-0.033,-0.045,45.63,61.5,208,-0.286,0.944,False,False,False
36_bb_squeeze,w=60,15.52,0.62,0.855,22.38,67.8,152,0.823,1.111,False,False,True
36_bb_squeeze,w=140,-20.35,-0.276,-0.382,42.91,64.0,186,-0.546,0.89,False,False,False
37_bb_expand,w=20,141.54,1.725,2.431,45.56,67.8,410,3.977,1.21,False,False,False
37_bb_expand,w=60,158.75,1.833,2.583,41.69,68.1,411,4.912,1.227,False,False,False
37_bb_expand,w=140,77.65,1.277,1.785,50.79,66.3,377,1.893,1.136,False,False,False
38_oi_cvd_combo,lb=12,-41.86,-0.903,-1.21,59.29,60.1,188,-0.793,0.827,False,False,False
38_oi_cvd_combo,lb=60,2.45,0.267,0.368,36.47,66.1,112,0.079,1.016,False,False,True
38_oi_cvd_combo,lb=288,-26.55,-0.768,-1.035,38.92,64.8,91,-0.78,0.776,False,False,True
39_funding_ls,fr<-0.0001_ls<0.9,40.58,1.011,1.424,24.56,67.9,209,1.998,1.154,False,False,True
39_funding_ls,fr<-0.0005_ls<0.85,37.57,0.965,1.358,26.18,67.8,208,1.732,1.144,False,False,True
39_funding_ls,fr<0.0_ls<0.95,24.28,0.741,1.043,33.31,67.6,210,0.871,1.09,False,False,True
40_vol_decay,w=12_roc<-30%,-43.51,-0.619,-0.848,58.96,60.9,307,-0.828,0.841,False,False,False
40_vol_decay,w=60_roc<-30%,-62.27,-1.431,-1.944,70.19,58.7,269,-0.97,0.727,False,False,False
40_vol_decay,w=288_roc<-30%,-48.25,-0.85,-1.17,64.32,60.7,275,-0.837,0.809,False,False,False
41_vol_growth,w=12_roc>50%,126.5,1.633,2.288,45.72,67.8,404,3.516,1.194,False,False,False
41_vol_growth,w=60_roc>50%,108.68,1.512,2.123,47.69,67.4,399,2.87,1.176,False,False,False
41_vol_growth,w=288_roc>50%,78.89,1.277,1.79,46.86,67.3,394,2.086,1.138,False,False,False
42_close_ma_dist,th=0.01,186.11,1.977,2.786,41.52,68.6,420,5.851,1.246,True,False,True
42_close_ma_dist,th=0.02,153.6,1.798,2.531,42.78,68.2,415,4.622,1.219,False,False,False
42_close_ma_dist,th=0.03,-3.0,0.322,0.451,56.37,64.4,351,-0.062,0.993,False,False,False
43_trend_contrarian,slope_th=0.0,20.5,0.665,0.909,49.37,64.7,365,0.495,1.046,False,False,False
43_trend_contrarian,slope_th=0.005,-29.5,-0.248,-0.332,55.27,62.9,315,-0.608,0.911,False,False,False
43_trend_contrarian,slope_th=0.01,-61.24,-1.467,-1.922,68.51,58.2,244,-0.979,0.7,False,False,False
44_trend_follow,slope_th=0.0,55.17,1.219,1.721,30.6,67.0,179,2.202,1.266,False,False,True
44_trend_follow,slope_th=0.005,41.7,1.191,1.703,26.46,68.0,100,1.907,1.348,False,False,True
44_trend_follow,slope_th=0.01,26.88,1.032,1.478,27.84,68.4,57,1.156,1.354,False,False,True
45_oi_norm_z,w=60_z>1,-26.98,-0.183,-0.251,56.97,64.0,308,-0.541,0.924,False,False,False
45_oi_norm_z,w=288_z>1,-47.18,-0.903,-1.218,67.01,61.0,231,-0.786,0.835,False,False,False
45_oi_norm_z,w=576_z>1,-12.66,0.03,0.041,53.86,65.0,220,-0.273,0.959,False,False,False
46_imbalance_z,w=12_L<-1_S>1,-33.54,-0.316,-0.436,64.49,63.0,319,-0.59,0.906,False,False,False
46_imbalance_z,w=60_L<-1_S>1,-20.39,-0.014,-0.02,58.85,63.7,331,-0.399,0.942,False,False,False
46_imbalance_z,w=288_L<-1_S>1,-34.27,-0.336,-0.464,58.55,63.6,324,-0.664,0.89,False,False,False
47_inside_bar,range<0.5xATR14,-72.04,-2.216,-2.922,76.15,52.5,204,-1.018,0.617,False,False,False
47_inside_bar,range<0.7xATR14,-54.49,-1.01,-1.379,64.67,60.9,294,-0.932,0.811,False,False,False
47_inside_bar,range<1.0xATR14,2.86,0.408,0.567,56.71,64.4,351,0.059,1.007,False,False,False
48_mtf_ma,ma_288,141.17,1.727,2.429,43.89,68.1,411,4.116,1.214,False,False,False
48_mtf_ma,ma_576,49.67,1.005,1.401,49.99,66.8,382,1.209,1.105,False,False,False
48_mtf_ma,ma_1152,0.88,0.376,0.52,48.29,64.0,333,0.021,1.002,False,False,False
49_rsi_lowvol,rsi14_atr60,-27.53,-0.725,-0.994,34.71,60.7,140,-0.906,0.793,False,False,True
49_rsi_lowvol,rsi28_atr144,-39.93,-1.23,-1.69,48.35,58.7,138,-0.93,0.697,False,False,False
49_rsi_lowvol,rsi14_atr288,-43.7,-1.394,-1.929,50.69,56.3,142,-0.967,0.643,False,False,False
50_dist_volspike,dw=60_vw=60,96.42,1.425,1.996,47.86,68.0,391,2.521,1.163,False,False,False
50_dist_volspike,dw=288_vw=288,78.58,1.277,1.787,47.4,67.3,388,2.054,1.135,False,False,False
50_dist_volspike,dw=576_vw=144,86.23,1.345,1.884,47.24,67.4,386,2.271,1.146,False,False,False
