feature,5min,15min,30min,1h,2h,4h,12h,24h
basis,0.06562158181301282,0.0641289977156428,0.06328256401653296,0.061770045915414545,0.061707652028330624,0.05735779804390606,0.04508140855861617,0.05055451004821552
basis_z288,0.056750807687509355,0.051546069165047795,0.0463269758792421,0.04194718800159794,0.036961021854725176,0.02806147535875776,0.01085023020904183,0.012854655884862584
basis_z36,0.030891679799561863,0.024864016852729324,0.021609368068087664,0.01775947193593424,0.01507582537551495,0.008817704035115115,0.003943515304022553,0.0032888170464198054
basis_z72,0.03905072015843475,0.03265800422589053,0.028181094067522214,0.022370318440519545,0.018351635917337253,0.012605186430047847,0.003172311322662589,-0.0018295228396438322
div_cvd_price_12,0.004464951305928918,0.003889187523659966,0.003957532606277014,0.003132806692427923,0.00244544350016418,0.002906426753098324,0.002465878878492216,0.0031492891789738423
div_cvd_price_36,0.0040229659161626664,0.0038178034179701887,0.003790667630910607,0.004266131168647077,0.005084258058517922,0.002778171117492317,0.0023302673491286388,0.0005912280606161362
div_cvd_price_6,0.007010224373235858,0.007338904055123456,0.006802824574147604,0.007902396142282449,0.004081136487435726,0.00806894989998344,0.002563123963293324,0.002218426172816747
div_cvd_price_72,0.0026423656308197712,0.006453724760637034,0.005453606055474876,0.003967039633654211,0.003586047131834104,0.0031731077819264187,0.002410983143772561,0.0027886172055806738
funding,0.05893416609681592,0.060614766806944984,0.05929817938612518,0.05871494485138536,0.06099351725966723,0.06597166602434079,0.06219593010988531,0.062352735470168875
funding_z288,0.03131478066880599,0.030596012246559567,0.02974144915890462,0.027291586487987764,0.024220058956904756,0.02461535274414253,0.035526010376753965,0.024979651407893294
funding_z576,0.005346676438982532,0.006175898520096448,0.00652154964245776,0.006615932749455883,0.007514346668558784,0.013230198219724529,0.017327108782503566,0.00143901424833901
ls_ratio,0.14957173653019032,0.15195045046134537,0.15415324067231734,0.15635395250590584,0.15890663668875624,0.16477435272966753,0.20453397480295277,0.23340280226339022
ls_z288,0.12241811582138495,0.12095776688284596,0.1178034435928897,0.11288410369377325,0.10296599965345539,0.08152177005288082,0.020273375557837946,0.046100783566398754
ls_z36,0.037601341332071464,0.03334676719912163,0.0260648147032907,0.020151087752272378,0.018388001792627003,0.013712604769183788,0.012238691042294116,-0.001975039882192131
ls_z72,0.05068320824532688,0.04666863179627028,0.04022961699137443,0.0345082235691503,0.03111088336811121,0.02450791218325991,0.026934774475288237,0.004961090239723864
oi_d12,0.37802377914845886,0.3734885857567323,0.361916176249433,0.33952154432495607,0.31388090658461343,0.2774290359225559,0.2136225466334513,0.17581857218794772
oi_d144,0.2432747576704877,0.24672644441981764,0.24421046988475945,0.23572127156295752,0.2236597149845251,0.20493019683289274,0.15228818130936192,0.13222038044644813
oi_d36,0.33355214288808116,0.33421232887246577,0.32494355829815186,0.3090180408851847,0.2850514964633229,0.2548219025407229,0.1933144709690577,0.15254430814720082
oi_d6,0.38198574162266086,0.3764055063226784,0.3640231718801981,0.3439228453626539,0.3165732861463237,0.2814927673434208,0.2171433038278801,0.18074802010119526
oi_d72,0.2888655117562098,0.2906857809351626,0.28619408760538484,0.2757731618663045,0.26001995797896876,0.23540912482386728,0.17584894926305727,0.14354639168457198
oi_z288,0.11319143018241251,0.1128334274164768,0.10774189220622793,0.09620346182131297,0.08005602490728157,0.05728209263748978,0.014396382919828702,0.02542107746739954
oi_z36,0.08140593155315949,0.07691242312952207,0.06931762475344662,0.055386467524852115,0.04563006258735061,0.03173039771660462,0.02045910534220767,-0.004119857494094843
oi_z72,0.09868229018160392,0.09468047601313702,0.08701122637446139,0.0740456668652899,0.06075873902804083,0.04870130774299968,0.034275653733758966,-0.0015027801098301107
spot_cvd_d12,0.3648151264686122,0.3591548454832473,0.34726686510687543,0.32851760294472176,0.30006500901799277,0.26358153062391354,0.2130343098823943,0.17240020578342427
spot_cvd_d144,0.2702893945890603,0.27173647546099633,0.2687634913044197,0.2617745023866882,0.24747407563500015,0.2229681656899379,0.18292187909125368,0.17476066373222773
spot_cvd_d36,0.3304863300849336,0.3304931006062905,0.32311330508970765,0.30970623068184316,0.2880287086520958,0.2586092586297939,0.20644149779901952,0.17321026028977451
spot_cvd_d6,0.36852168249097045,0.3577163468425627,0.3440187734032323,0.32485638294673125,0.2933320596964299,0.2587245914307615,0.2095718068395987,0.16773114119219004
spot_cvd_d72,0.3001231661096814,0.3007842927124634,0.2964753122687606,0.28609931283355905,0.26683520069536076,0.24428698560448484,0.19344564929715166,0.17071251626946143
taker_z288,-0.047600341419380965,-0.05344039754637644,-0.05395877557193317,-0.05037013345347452,-0.04713913234279968,-0.03625044739224564,-0.01595605643744096,-0.012314252679474337
taker_z36,0.008056704014693045,0.003577079497030302,0.0021864603890061913,0.0032542373730149623,0.001286874377921099,0.004485258190010341,0.0060638055316782295,0.012713694658115745
