return_%,sharpe,sortino,maxdd_%,winrate_%,trades,profit_factor,calmar,pair,hypothesis,params,hold
-89.7,-9.489,-11.915,89.7,10.0,1051,0.121,-0.341,BTC,17_ls_ratio_dir,th=0.9,60
-93.09,-9.372,-10.265,93.09,8.0,1081,0.076,-0.375,BTC,17_ls_ratio_dir,th=0.95,60
-83.19,-9.209,-9.654,83.19,8.4,705,0.047,-0.3,BTC,17_ls_ratio_dir,th=1.0,60
-69.94,-6.339,-7.025,69.94,13.9,468,0.109,-0.251,BTC,18_top_ls_contrarian,th=0.85,60
-72.2,-4.478,-6.76,72.2,9.5,539,0.179,-0.258,BTC,18_top_ls_contrarian,th=0.9,60
-49.54,-2.912,-2.944,49.67,11.2,233,0.04,-0.21,BTC,18_top_ls_contrarian,th=0.95,60
-100.0,-38.459,-40.864,100.0,6.2,10726,0.026,-0.985,BTC,19_taker_zscore,w=60,60
-100.0,-40.16,-42.591,100.0,5.1,10767,0.028,-0.984,BTC,19_taker_zscore,w=288,60
-100.0,-40.441,-43.082,100.0,5.0,10781,0.025,-0.984,BTC,19_taker_zscore,w=576,60
-99.97,-11.948,-15.847,99.97,15.3,3730,0.177,-0.728,BTC,20_basis_dir,th=0.001,60
-60.81,-1.904,-3.125,65.99,22.8,569,0.477,-0.212,BTC,20_basis_dir,th=0.002,60
1.07,0.058,0.094,18.47,44.2,43,1.033,0.009,BTC,20_basis_dir,th=0.005,60
-100.0,-29.408,-35.51,100.0,9.6,11579,0.141,-0.986,BTC,21_basis_zscore,w=60,60
-100.0,-29.393,-33.764,100.0,8.7,11057,0.109,-0.985,BTC,21_basis_zscore,w=288,60
-100.0,-28.899,-33.633,100.0,8.8,11072,0.147,-0.984,BTC,21_basis_zscore,w=576,60
-100.0,-41.04,-42.903,100.0,5.0,10494,0.046,-0.983,BTC,22_cvd_oi_price,lb=60,60
-100.0,-25.415,-26.976,100.0,5.9,4915,0.094,-0.857,BTC,22_cvd_oi_price,lb=288,60
-99.99,-22.187,-23.437,99.99,5.9,3578,0.065,-0.758,BTC,22_cvd_oi_price,lb=576,60
-98.71,-13.168,-15.035,98.71,9.0,1803,0.116,-0.51,BTC,23_cvd_funding_squeeze,lb=60,60
-78.02,-7.425,-8.441,78.02,10.6,604,0.11,-0.277,BTC,23_cvd_funding_squeeze,lb=288,60
-59.19,-6.133,-6.535,59.26,11.2,365,0.067,-0.226,BTC,23_cvd_funding_squeeze,lb=576,60
-100.0,-33.287,-37.687,100.0,9.7,11077,0.027,-0.987,BTC,24_triple_cvd_align,lb=12,60
-100.0,-35.142,-39.589,100.0,7.1,10748,0.068,-0.985,BTC,24_triple_cvd_align,lb=60,60
-100.0,-25.287,-28.686,100.0,7.0,5326,0.106,-0.874,BTC,24_triple_cvd_align,lb=288,60
-100.0,-34.849,-37.247,100.0,6.2,9357,0.069,-0.973,BTC,25_oi_ls_squeeze,lb=60,60
-100.0,-23.977,-25.69,100.0,7.0,4931,0.072,-0.85,BTC,25_oi_ls_squeeze,lb=288,60
-99.99,-20.55,-22.245,99.99,7.0,3767,0.086,-0.768,BTC,25_oi_ls_squeeze,lb=576,60
-97.76,-10.279,-11.697,97.76,12.0,1621,0.131,-0.467,BTC,26_rsi_cvd,lb=60_rsi14,60
-99.98,-17.12,-19.367,99.98,11.0,3796,0.155,-0.751,BTC,26_rsi_cvd,lb=288_rsi14,60
-99.99,-17.59,-20.096,99.99,11.0,4165,0.159,-0.78,BTC,26_rsi_cvd,lb=576_rsi14,60
-100.0,-31.673,-35.656,100.0,9.4,11105,0.033,-0.987,BTC,27_cvd_acceleration,lb=12,60
-100.0,-34.875,-37.975,100.0,6.9,10537,0.052,-0.985,BTC,27_cvd_acceleration,lb=60,60
-100.0,-26.705,-29.826,100.0,6.7,5958,0.106,-0.902,BTC,27_cvd_acceleration,lb=288,60
-100.0,-36.299,-40.682,100.0,6.4,10615,0.048,-0.986,BTC,28_um_imbalance_z,w=60,60
-100.0,-38.834,-42.55,100.0,5.4,10459,0.053,-0.985,BTC,28_um_imbalance_z,w=288,60
-100.0,-39.815,-43.159,100.0,5.1,10411,0.055,-0.985,BTC,28_um_imbalance_z,w=576,60
-99.97,-12.971,-16.646,99.97,14.0,3511,0.172,-0.724,BTC,29_funding_basis,th=0.001,60
-66.65,-2.693,-3.949,66.93,21.2,537,0.391,-0.242,BTC,29_funding_basis,th=0.002,60
-13.31,-0.411,-0.565,19.61,37.1,35,0.57,-0.116,BTC,29_funding_basis,th=0.005,60
-81.46,-3.125,-4.26,81.78,24.2,751,0.402,-0.29,BTC,30_oi_roc,lb=12_>5%,60
-99.62,-10.248,-13.077,99.62,16.5,2411,0.243,-0.593,BTC,30_oi_roc,lb=60_>5%,60
-99.99,-15.95,-19.234,99.99,11.1,3813,0.144,-0.77,BTC,30_oi_roc,lb=288_>5%,60
-100.0,-38.231,-40.288,100.0,4.6,9235,0.033,-0.972,BTC,31_taker_oi,w=60,60
-100.0,-35.063,-37.192,100.0,4.3,7881,0.037,-0.952,BTC,31_taker_oi,w=288,60
-100.0,-36.365,-37.878,100.0,4.2,7767,0.04,-0.95,BTC,31_taker_oi,w=576,60
-100.0,-28.304,-33.501,100.0,11.6,10362,0.147,-0.984,BTC,32_multi_cvd_zscore,w=60,60
-100.0,-23.401,-28.383,100.0,13.5,8270,0.171,-0.964,BTC,32_multi_cvd_zscore,w=288,60
-100.0,-22.461,-27.445,100.0,14.1,7862,0.181,-0.958,BTC,32_multi_cvd_zscore,w=576,60
-11.26,-0.692,-1.517,14.4,22.6,115,0.572,-0.132,BTC,33_funding_rsi,w=288,60
-10.49,-0.653,-1.13,14.04,27.2,103,0.597,-0.126,BTC,33_funding_rsi,w=576,60
-12.03,-0.806,-1.226,12.35,27.0,100,0.519,-0.165,BTC,33_funding_rsi,w=1152,60
-100.0,-32.945,-34.303,100.0,5.1,6776,0.063,-0.931,BTC,34_all_cvd_div_price,lb=60,60
-99.99,-24.388,-25.219,99.99,5.2,3727,0.038,-0.777,BTC,34_all_cvd_div_price,lb=288,60
-99.93,-20.44,-21.618,99.93,4.6,2927,0.047,-0.687,BTC,34_all_cvd_div_price,lb=576,60
-100.0,-32.248,-36.64,100.0,12.5,12220,0.08,-0.992,ETH,01_um_cvd_momentum,lb=12,60
-100.0,-34.95,-40.058,100.0,9.3,12142,0.126,-0.991,ETH,01_um_cvd_momentum,lb=60,60
-100.0,-19.368,-23.328,100.0,10.1,4129,0.135,-0.8,ETH,01_um_cvd_momentum,lb=288,60
-100.0,-32.425,-37.028,100.0,12.2,12090,0.08,-0.991,ETH,03_cm_cvd_momentum,lb=12,60
-100.0,-33.913,-38.255,100.0,9.3,10942,0.096,-0.985,ETH,03_cm_cvd_momentum,lb=60,60
-99.99,-18.791,-22.39,99.99,10.0,3815,0.148,-0.762,ETH,03_cm_cvd_momentum,lb=288,60
-100.0,-31.32,-35.939,100.0,12.7,12578,0.082,-0.992,ETH,04_um_cvd_divergence,lb=12,60
-100.0,-34.419,-37.974,100.0,9.2,12171,0.088,-0.991,ETH,04_um_cvd_divergence,lb=60,60
-100.0,-29.488,-32.422,100.0,8.9,7953,0.11,-0.956,ETH,04_um_cvd_divergence,lb=288,60
-100.0,-32.238,-36.547,100.0,12.6,12596,0.077,-0.991,ETH,06_cm_cvd_divergence,lb=12,60
-100.0,-35.588,-39.491,100.0,8.6,12321,0.063,-0.991,ETH,06_cm_cvd_divergence,lb=60,60
-100.0,-27.527,-30.676,100.0,8.7,7201,0.124,-0.939,ETH,06_cm_cvd_divergence,lb=288,60
-100.0,-32.015,-37.009,100.0,11.8,12270,0.099,-0.991,ETH,08_um_vs_cm_cvd,lb=12,60
-100.0,-35.687,-40.026,100.0,8.8,12137,0.075,-0.991,ETH,08_um_vs_cm_cvd,lb=60,60
-100.0,-24.8,-26.643,100.0,8.2,5233,0.1,-0.878,ETH,08_um_vs_cm_cvd,lb=288,60
-100.0,-21.376,-24.389,100.0,15.0,11900,0.14,-0.991,ETH,09_um_delta_zscore,w=60_z=2,60
-100.0,-24.018,-30.619,100.0,15.7,12195,0.169,-0.991,ETH,09_um_delta_zscore,w=288_z=2,60
-100.0,-23.809,-30.499,100.0,16.2,12245,0.195,-0.991,ETH,09_um_delta_zscore,w=576_z=2,60
-100.0,-36.332,-41.789,100.0,7.5,12360,0.085,-0.991,ETH,11_oi_momentum,lb=12,60
-100.0,-33.39,-37.228,100.0,7.9,9619,0.095,-0.976,ETH,11_oi_momentum,lb=60,60
-100.0,-20.916,-23.8,100.0,8.4,4469,0.086,-0.823,ETH,11_oi_momentum,lb=288,60
-100.0,-37.073,-40.689,100.0,6.6,12042,0.062,-0.991,ETH,12_oi_price_div,lb=12,60
-100.0,-37.066,-39.81,100.0,7.2,11234,0.075,-0.987,ETH,12_oi_price_div,lb=60,60
-100.0,-24.786,-26.946,100.0,7.4,5248,0.079,-0.873,ETH,12_oi_price_div,lb=288,60
-100.0,-31.233,-36.785,100.0,9.8,10747,0.148,-0.985,ETH,13_oi_zscore_high,w=60,60
-100.0,-18.19,-21.737,100.0,11.6,4251,0.157,-0.809,ETH,13_oi_zscore_high,w=288,60
-99.85,-12.772,-17.172,99.86,12.4,2791,0.183,-0.65,ETH,13_oi_zscore_high,w=576,60
-30.12,-2.838,-3.156,30.28,22.2,153,0.157,-0.185,ETH,14_funding_dir,th=0.0001,60
-12.65,-0.998,-1.339,13.17,31.3,83,0.431,-0.163,ETH,14_funding_dir,th=0.0005,60
-8.04,-0.92,-1.01,9.16,36.8,38,0.295,-0.146,ETH,14_funding_dir,th=0.001,60
-96.13,-9.871,-11.364,96.16,13.2,1382,0.157,-0.423,ETH,15_funding_zscore,w=288,60
-86.92,-7.376,-8.525,87.02,14.7,866,0.161,-0.32,ETH,15_funding_zscore,w=576,60
-67.42,-5.488,-6.571,67.68,16.1,502,0.162,-0.244,ETH,15_funding_zscore,w=1152,60
-100.0,-32.379,-37.021,100.0,8.7,10139,0.127,-0.981,ETH,16_funding_cvd,lb=60,60
-99.97,-18.785,-21.896,99.97,8.9,3407,0.135,-0.733,ETH,16_funding_cvd,lb=288,60
-99.45,-14.158,-16.815,99.45,9.6,2164,0.114,-0.57,ETH,16_funding_cvd,lb=576,60
-64.72,-6.614,-7.327,64.72,9.2,415,0.085,-0.238,ETH,17_ls_ratio_dir,th=0.9,60
-62.64,-5.408,-5.981,62.64,12.8,406,0.113,-0.234,ETH,17_ls_ratio_dir,th=0.95,60
-46.85,-4.626,-5.867,46.96,12.3,300,0.14,-0.206,ETH,17_ls_ratio_dir,th=1.0,60
-38.05,-5.05,-5.599,38.51,9.2,206,0.075,-0.192,ETH,18_top_ls_contrarian,th=0.85,60
-29.29,-2.995,-3.25,29.29,7.8,129,0.068,-0.185,ETH,18_top_ls_contrarian,th=0.9,60
-21.12,-2.961,-3.573,21.12,8.3,96,0.104,-0.177,ETH,18_top_ls_contrarian,th=0.95,60
-100.0,-40.668,-43.916,100.0,6.2,12248,0.127,-0.991,ETH,19_taker_zscore,w=60,60
-100.0,-41.701,-44.132,100.0,5.5,11483,0.114,-0.988,ETH,19_taker_zscore,w=288,60
-100.0,-40.985,-43.258,100.0,5.4,11162,0.115,-0.986,ETH,19_taker_zscore,w=576,60
-100.0,-33.756,-36.052,100.0,6.1,8439,0.055,-0.963,ETH,22_cvd_oi_price,lb=60,60
-99.99,-22.464,-24.078,99.99,7.3,3902,0.067,-0.778,ETH,22_cvd_oi_price,lb=288,60
-99.95,-19.182,-21.063,99.95,7.3,3095,0.086,-0.702,ETH,22_cvd_oi_price,lb=576,60
-98.99,-11.767,-14.142,98.99,12.8,1942,0.153,-0.527,ETH,23_cvd_funding_squeeze,lb=60,60
-75.22,-6.507,-7.804,75.22,12.8,541,0.146,-0.267,ETH,23_cvd_funding_squeeze,lb=288,60
-51.03,-4.277,-5.085,51.03,17.2,320,0.174,-0.212,ETH,23_cvd_funding_squeeze,lb=576,60
-100.0,-29.618,-32.222,100.0,8.1,7664,0.101,-0.948,ETH,25_oi_ls_squeeze,lb=60,60
-99.98,-19.778,-22.659,99.98,7.8,3733,0.089,-0.756,ETH,25_oi_ls_squeeze,lb=288,60
-99.9,-17.252,-18.957,99.9,8.6,2862,0.109,-0.672,ETH,25_oi_ls_squeeze,lb=576,60
-99.24,-9.935,-11.252,99.24,16.0,1953,0.218,-0.547,ETH,26_rsi_cvd,lb=60_rsi14,60
-100.0,-16.757,-18.622,100.0,15.0,4266,0.161,-0.807,ETH,26_rsi_cvd,lb=288_rsi14,60
-100.0,-16.68,-18.717,100.0,15.8,4682,0.165,-0.835,ETH,26_rsi_cvd,lb=576_rsi14,60
-100.0,-28.537,-33.333,100.0,13.8,12091,0.079,-0.992,ETH,27_cvd_acceleration,lb=12,60
-100.0,-31.526,-35.488,100.0,9.8,12110,0.1,-0.991,ETH,27_cvd_acceleration,lb=60,60
-100.0,-21.836,-26.151,100.0,11.2,5965,0.107,-0.893,ETH,27_cvd_acceleration,lb=288,60
-100.0,-24.92,-27.376,100.0,9.0,11737,0.115,-0.991,ETH,28_um_imbalance_z,w=60,60
-100.0,-34.114,-41.068,100.0,8.2,12084,0.096,-0.991,ETH,28_um_imbalance_z,w=288,60
-100.0,-34.119,-41.406,100.0,7.8,11958,0.1,-0.991,ETH,28_um_imbalance_z,w=576,60
-73.42,-2.995,-4.283,73.7,24.0,578,0.327,-0.26,ETH,30_oi_roc,lb=12_>5%,60
-98.66,-9.229,-11.69,98.66,17.5,1790,0.155,-0.507,ETH,30_oi_roc,lb=60_>5%,60
-99.93,-15.65,-18.795,99.93,12.6,3156,0.139,-0.692,ETH,30_oi_roc,lb=288_>5%,60
-100.0,-31.139,-33.275,100.0,5.8,7081,0.108,-0.935,ETH,31_taker_oi,w=60,60
-100.0,-30.17,-31.787,100.0,5.0,5905,0.078,-0.898,ETH,31_taker_oi,w=288,60
-100.0,-30.736,-32.236,100.0,4.8,6010,0.072,-0.902,ETH,31_taker_oi,w=576,60
-100.0,-21.868,-26.831,100.0,16.2,10684,0.253,-0.984,ETH,32_multi_cvd_zscore,w=60,60
-100.0,-19.233,-24.071,100.0,18.1,8183,0.266,-0.959,ETH,32_multi_cvd_zscore,w=288,60
-100.0,-18.433,-23.292,100.0,18.4,7746,0.263,-0.952,ETH,32_multi_cvd_zscore,w=576,60
-18.46,-1.59,-1.988,19.31,30.6,111,0.307,-0.167,ETH,33_funding_rsi,w=288,60
-10.67,-0.65,-0.962,11.39,39.2,125,0.617,-0.158,ETH,33_funding_rsi,w=576,60
-11.92,-0.858,-1.272,12.15,33.7,101,0.515,-0.166,ETH,33_funding_rsi,w=1152,60
